id	title	words	classification	source
PTgn	Perjanjian Terengganu-Inggeris 1910�	586	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
Pung	Syair Burung Pungguk	2317	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
Puras	Hikayat Purasara	27130	prose	http://mcp.anu.edu.au/Q/words.html#bytext
Pwng	Surat Pawang	28123	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
QB	Qasidah al-Burdah	3306	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
R	R_n_r_ excerpts	1502	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
Raksi	Syair Raksi	4749	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
Rama	Hikayat Seri Rama	96083	prose	http://mcp.anu.edu.au/Q/words.html#bytext
RIJ	Raja Inggeris Jubili	355	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
RJoh	Syair Raja Johor	17555	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
RS	Risalah Shihabuddin	4071	prose	http://mcp.anu.edu.au/Q/words.html#bytext
RT	Risalah fi 'l-Tawhid	11697	prose	http://mcp.anu.edu.au/Q/words.html#bytext
S	Saudara	307344	newspapers	http://mcp.anu.edu.au/Q/words.html#bytext
SA	Shar_b al-`_shik_n	5462	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
SAB	Syair almarhum Sultan Abubakar	28176	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
SBima	Hikayat Sang Bima	25324	prose	http://mcp.anu.edu.au/Q/words.html#bytext
SBod	Syair Saudagar Bodoh	5482	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
Siak	Hikayat Siak	48459	prose	http://mcp.anu.edu.au/Q/words.html#bytext
Sikka	Hikayat Kerajaan Sikka	78576	prose	http://mcp.anu.edu.au/Q/words.html#bytext
SITS	Surat Ingatan Tengku Said	8556	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
SJal	Surat Keterangan Syeikh Jalaluddin	8927	prose	http://mcp.anu.edu.au/Q/words.html#bytext
SKel	Hikayat Seri Kelantan	28603	prose	http://mcp.anu.edu.au/Q/words.html#bytext
SM	Sejarah Melayu	94257	prose	http://mcp.anu.edu.au/Q/words.html#bytext
SMrdn	Hikayat Syah Mardan	31140	prose	http://mcp.anu.edu.au/Q/words.html#bytext
Srg	Syair Syurga	2155	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
SRN	Surat Beriluminasi Raja Nusantara	28822	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
SSiti	Syair Seratus Siti	39921	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
ST	Sufi Tracts	14445	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
Sunur	Syair Sunur	1179	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
SWB	Spraek ende Woord-Boek	10170	prose	http://mcp.anu.edu.au/Q/words.html#bytext
T&K	Syair Raja Tedung dengan Raja Katak	4169	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
TBarus	Tambo Barus Hilir	19993	prose	http://mcp.anu.edu.au/Q/words.html#bytext
Tkbr	Kitab Takbir	17561	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
TM	Tarjum_n al-Mustaf_d	11831	tracts-and-manuals	http://mcp.anu.edu.au/Q/words.html#bytext
TN	Tuhfat al-Nafis	144853	prose	http://mcp.anu.edu.au/Q/words.html#bytext
TS.K	Taj al-Salatin (ed. Khalid)	65269	prose	http://mcp.anu.edu.au/Q/words.html#bytext
TS.R	Taj al-Salatin (Roorda)	69812	prose	http://mcp.anu.edu.au/Q/words.html#bytext
Tuah	Hikayat Hang Tuah	172458	prose	http://mcp.anu.edu.au/Q/words.html#bytext
TW	Mukhtasar Tawarikh al-Wusta	3789	prose	http://mcp.anu.edu.au/Q/words.html#bytext
TZA	Syair Tawarikh Zainal Abidin yang Ketiga	53198	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
UKJ	Ucapan Kwin Jubili	978	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
Ungg	Syair Unggas Soal Jawab	4273	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
UU	Undang-Undang Melaka	14670	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
VdW	Surat kepada Von de Wall	50276	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
VN	Vernacular Newspapers - Editorials	9789	newspapers	http://mcp.anu.edu.au/Q/words.html#bytext
Wangk	Syair Perang Wangkang	4580	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
WBima	Warkah Bima	5247	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
WBrn	Warkah Brunei	4646	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
WButon	Warkah Buton	4794	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
WHaji	Buku Wulang Haji	2364	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
WM	Warta Malaya	44323	newspapers	http://mcp.anu.edu.au/Q/words.html#bytext
Wrkh	Warisan Warkah Melayu	41652	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
Ws	Warnasarie	417	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
WSln	Warkah dari Sailan	2984	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
WSumB	Warkah Sumatera Barat	4086	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
WTgn	Warkah Terengganu	3343	letters-and-documents	http://mcp.anu.edu.au/Q/words.html#bytext
Zub	Syair Siti Zubaidah Perang Cina	69679	verse texts	http://mcp.anu.edu.au/Q/words.html#bytext
